Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Denvergov,Chrome 70.0.3538.77,,2018-10-31 08:23:52,2018-10-31 08:29:27,5m - 34.777s,FAILED
,,,,,,
Test Cases/Denvergov/Denvergov - ArtsVenues-EventSettlement,Chrome 70.0.3538.77,,2018-10-31 08:23:58,2018-10-31 08:24:31,33.550s,FAILED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:23:58,2018-10-31 08:24:00,1.429s,PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 08:24:00,2018-10-31 08:24:00,0.072s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:24:00,2018-10-31 08:24:31,31.811s,FAILED
,,,,,,
Test Cases/Denvergov/Denvergov - pocketgov,Chrome 70.0.3538.77,,2018-10-31 08:24:31,2018-10-31 08:24:34,2.585s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:24:32,2018-10-31 08:24:33,1.728s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:24:33,2018-10-31 08:24:34,0.257s,PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 08:24:34,2018-10-31 08:24:34,0.056s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-10-31 08:24:34,2018-10-31 08:24:34,0.284s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Checkbook,Chrome 70.0.3538.77,,2018-10-31 08:24:34,2018-10-31 08:24:37,2.650s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:24:34,2018-10-31 08:24:35,0.982s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:24:35,2018-10-31 08:24:36,0.714s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:24:36,2018-10-31 08:24:36,0.098s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:24:36,2018-10-31 08:24:37,0.617s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Transparency,Chrome 70.0.3538.77,,2018-10-31 08:24:37,2018-10-31 08:24:42,5.427s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:24:37,2018-10-31 08:24:38,0.720s,PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-10-31 08:24:38,2018-10-31 08:24:38,0.095s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:24:38,2018-10-31 08:24:38,0.120s,PASSED
delay,Chrome 70.0.3538.77,,2018-10-31 08:24:38,2018-10-31 08:24:41,3.034s,PASSED
switchToWindowUrl,Chrome 70.0.3538.77,,2018-10-31 08:24:41,2018-10-31 08:24:42,1.099s,PASSED
closeWindowIndex,Chrome 70.0.3538.77,,2018-10-31 08:24:42,2018-10-31 08:24:42,0.081s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-10-31 08:24:42,2018-10-31 08:24:42,0.022s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - ContractorLicenses,Chrome 70.0.3538.77,,2018-10-31 08:24:42,2018-10-31 08:24:45,3.231s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:24:42,2018-10-31 08:24:43,0.523s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:24:43,2018-10-31 08:24:43,0.154s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:24:43,2018-10-31 08:24:43,0.100s,PASSED
waitForElementNotVisible,Chrome 70.0.3538.77,,2018-10-31 08:24:43,2018-10-31 08:24:45,2.129s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:24:45,2018-10-31 08:24:45,0.067s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - VoterList,Chrome 70.0.3538.77,,2018-10-31 08:24:45,2018-10-31 08:24:47,1.415s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:24:46,2018-10-31 08:24:47,1.012s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:24:47,2018-10-31 08:24:47,0.171s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - RecyclingSignup,Chrome 70.0.3538.77,,2018-10-31 08:24:47,2018-10-31 08:25:31,43.853s,FAILED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:24:47,2018-10-31 08:24:49,1.898s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:24:49,2018-10-31 08:24:50,0.622s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:24:50,2018-10-31 08:24:50,0.080s,PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 08:24:50,2018-10-31 08:24:58,8.828s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:24:58,2018-10-31 08:25:31,32.180s,FAILED
,,,,,,
Test Cases/Denvergov/Denvergov - CampaignFinanceReports,Chrome 70.0.3538.77,,2018-10-31 08:25:31,2018-10-31 08:25:38,7.326s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:25:31,2018-10-31 08:25:31,0.475s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:25:31,2018-10-31 08:25:33,1.204s,PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 08:25:33,2018-10-31 08:25:38,5.405s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Denver Elections Division  Cam/NumberOfResults), ""value"")",Chrome 70.0.3538.77,,2018-10-31 08:25:38,2018-10-31 08:25:38,0.001s,NOT_RUN
,,,,,,
Test Cases/Denvergov/Denvergov - LandSurveyPlats,Chrome 70.0.3538.77,,2018-10-31 08:25:38,2018-10-31 08:25:45,6.880s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:25:38,2018-10-31 08:25:44,5.670s,PASSED
